DATE_,the_geom,COLLECTOR,SECTION_,PATROL,ROUTE,ROAD_TYPE,REF_PT,COMMENTS,DATAFILE
09/13/2000 12:00:00 AM +0000,POINT (-109.01480649341131 37.80841985181384),"TOKAR, RICHARD",3,1,666B,Main_Hwy,68,,
09/13/2000 12:00:00 AM +0000,POINT (-108.99776969233857 37.80244678135416),"TOKAR, RICHARD",3,1,666B,Main_Hwy,67,,
09/13/2000 12:00:00 AM +0000,POINT (-108.98196128807103 37.79532928784426),"TOKAR, RICHARD",3,1,666B,Main_Hwy,66,,
09/13/2000 12:00:00 AM +0000,POINT (-108.78668343852658 38.02574326765801),"TOKAR, RICHARD",3,1,141A,Main_Hwy,28.5,,
09/13/2000 12:00:00 AM +0000,POINT (-108.79543338067909 38.0257964226234),"TOKAR, RICHARD",3,1,141A,Main_Hwy,28,,
09/13/2000 12:00:00 AM +0000,POINT (-108.8147324992714 38.02570942578535),"TOKAR, RICHARD",3,1,141A,Main_Hwy,27,,
09/13/2000 12:00:00 AM +0000,POINT (-108.83235511278592 38.026965938621686),"TOKAR, RICHARD",3,1,141A,Main_Hwy,26,,
09/13/2000 12:00:00 AM +0000,POINT (-108.84378505314251 38.03782003590316),"TOKAR, RICHARD",3,1,141A,Main_Hwy,25,,
09/13/2000 12:00:00 AM +0000,POINT (-108.85648529637686 38.044501172046054),"TOKAR, RICHARD",3,1,141A,Main_Hwy,24,,
09/13/2000 12:00:00 AM +0000,POINT (-108.8632701197378 38.03250018557845),"TOKAR, RICHARD",3,1,141A,Main_Hwy,23,,
09/13/2000 12:00:00 AM +0000,POINT (-108.87794331053124 38.028806669392296),"TOKAR, RICHARD",3,1,141A,Main_Hwy,22,,
09/13/2000 12:00:00 AM +0000,POINT (-108.89111076463178 38.03491937360454),"TOKAR, RICHARD",3,1,141A,Main_Hwy,21,,
09/13/2000 12:00:00 AM +0000,POINT (-108.90123871472896 38.028657903237466),"TOKAR, RICHARD",3,1,141A,Main_Hwy,20,,
09/13/2000 12:00:00 AM +0000,POINT (-108.90795603902338 38.019929568658576),"TOKAR, RICHARD",3,1,141A,Main_Hwy,19,,
09/13/2000 12:00:00 AM +0000,POINT (-108.92108349689438 38.01522393086697),"TOKAR, RICHARD",3,1,141A,Main_Hwy,18,,
09/13/2000 12:00:00 AM +0000,POINT (-108.93360776440993 38.00884818249534),"TOKAR, RICHARD",3,1,141A,Main_Hwy,17,,
09/13/2000 12:00:00 AM +0000,POINT (-108.93585843232546 38.00093356366278),"TOKAR, RICHARD",3,1,141A,Main_Hwy,16,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94025023465382 37.986531120682855),"TOKAR, RICHARD",3,1,141A,Main_Hwy,15,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94002561095357 37.97173578820997),"TOKAR, RICHARD",3,1,141A,Main_Hwy,14,,
09/13/2000 12:00:00 AM +0000,POINT (-108.93646839108281 37.95687658660615),"TOKAR, RICHARD",3,1,141A,Main_Hwy,13,,
09/13/2000 12:00:00 AM +0000,POINT (-108.93330751340781 37.943618753894086),"TOKAR, RICHARD",3,1,141A,Main_Hwy,12,,
